Production_ID,Production_DateTime,Production_Date,Production_Hour,Production_Week,Production_Month,Shift_Type,Production_Line,Product_Type,Batch_Number,Machine_ID,Machine_Temperature,Machine_Run_Time,Downtime_Minutes,Maintenance_Status,Power_Consumption,Operator_ID,Operator_Experience,Shift_Hours,Material_Type,Material_Quality,Supplier_ID,Inventory_Level,Production_Target,Actual_Output,Production_Efficiency,Cycle_Time,Defect_Count,Rejection_Count,Factory_Temperature,Humidity_Level,Noise_Level,Delay_Status,Defect_Status,Failure_Risk,Predicted_Output
1,2025-10-24 09:17:35.823746,2025-10-24,9,43,10,B,Line-1,Sensor,BATCH-5596,M-101,83.9,7,12,Done,34.76,1028,13,8,Plastic,Medium,233,181,750,764,101.87,3.28,3,6,37.42,54.11,84.33,0,0,0,771
2,2026-03-18 09:07:35.823746,2026-03-18,9,12,3,A,Line-1,Microchip,BATCH-2185,M-103,54.22,18,21,Pending,16.79,1020,9,11,Copper,High,215,251,791,798,100.88,4.93,2,8,25.79,66.68,61.01,0,0,0,810
3,2025-08-12 19:57:35.823746,2025-08-12,19,33,8,A,Line-3,Microchip,BATCH-3540,M-101,101.68,13,21,Done,20.33,1043,11,8,Copper,High,247,366,1021,1032,101.08,2.48,1,6,39.61,35.84,61.01,0,0,0,1024
4,2025-09-12 19:49:35.823746,2025-09-12,19,37,9,B,Line-1,Sensor,BATCH-2200,M-101,73.32,24,28,Done,46.39,1030,13,10,Silicon,Medium,205,305,1189,1187,99.83,2.3,3,1,29.67,54.68,119.13,0,0,0,1198
5,2025-12-25 21:54:35.823746,2025-12-25,21,52,12,A,Line-1,Sensor,BATCH-7687,M-102,90.94,13,22,Pending,52.9,1010,2,8,Plastic,Medium,212,266,433,425,98.15,2.69,3,3,27.63,33.91,113.5,0,0,0,408
6,2026-05-10 22:18:35.823746,2026-05-10,22,19,5,A,Line-3,Sensor,BATCH-5493,M-104,55.17,12,6,Pending,59.84,1030,11,10,Silicon,Low,248,117,678,704,103.83,3.83,13,2,25.69,74.34,116.61,0,1,0,685
7,2025-06-14 16:53:35.823746,2025-06-14,16,24,6,A,Line-2,PCB,BATCH-9167,M-101,76.61,19,11,Done,25.7,1030,12,7,Copper,High,201,160,963,986,102.39,1.07,1,4,21.95,30.39,113.46,0,0,0,996
8,2025-08-25 10:03:35.823746,2025-08-25,10,35,8,C,Line-2,Microchip,BATCH-2811,M-102,113.19,17,95,Done,58.32,1005,7,8,Silicon,High,218,346,1015,919,90.54,4.29,7,6,28.21,36.96,93.2,0,1,0,902
9,2026-02-22 07:38:35.823746,2026-02-22,7,8,2,B,Line-3,Microchip,BATCH-5239,M-102,114.14,20,22,Done,55.35,1047,15,8,Plastic,High,247,636,652,660,101.23,4.72,2,1,22.08,33.23,64.57,0,0,0,661
10,2025-08-09 03:25:35.823746,2025-08-09,3,32,8,A,Line-3,Sensor,BATCH-2592,M-103,101.06,19,8,Done,41.47,1022,5,9,Silicon,High,247,597,812,824,101.48,3.45,1,9,24.75,30.47,102.06,0,0,0,840
11,2026-03-21 10:39:35.823746,2026-03-21,10,12,3,A,Line-3,Sensor,BATCH-8259,M-104,106.94,20,17,Done,25.65,1018,2,8,Copper,Medium,236,184,568,565,99.47,2.37,2,9,24.82,69.5,68.9,0,0,0,570
12,2025-11-17 15:04:35.823746,2025-11-17,15,47,11,A,Line-1,PCB,BATCH-3132,M-101,100.7,13,30,Pending,56.32,1041,7,8,Plastic,High,210,744,771,765,99.22,1.05,0,6,33.75,77.35,63.78,0,0,0,753
13,2026-01-31 12:13:35.823746,2026-01-31,12,5,1,B,Line-2,Microchip,BATCH-2201,M-101,85.77,7,16,Done,33.12,1050,3,7,Silicon,High,246,605,587,577,98.3,4.72,2,8,37.28,52.69,63.86,0,0,0,578
