Production_ID,Production_DateTime,Production_Date,Production_Hour,Production_Week,Production_Month,Shift_Type,Production_Line,Product_Type,Batch_Number,Machine_ID,Machine_Temperature,Machine_Run_Time,Downtime_Minutes,Maintenance_Status,Power_Consumption,Operator_ID,Operator_Experience,Shift_Hours,Material_Type,Material_Quality,Supplier_ID,Inventory_Level,Production_Target,Actual_Output,Production_Efficiency,Cycle_Time,Defect_Count,Rejection_Count,Factory_Temperature,Humidity_Level,Noise_Level,Delay_Status,Defect_Status,Failure_Risk,Predicted_Output
1,2025-10-22 00:17:57.973205,2025-10-22,0,43,10,B,Line-3,Microchip,BATCH-5928,M-101,100.04,11,42,Pending,40.4,1029,1.0,12,Silicon,Low,223,415.0,421,346,94.3,2.05,2,3,25.29,68.43,115.38,0,1,0,347
3,2026-03-19 05:30:57.973205,2026-03-19,5,12,3,B,Line-1,Microchip,BATCH-7826,M-103,97.83,7,102,Done,42.45,1022,4.0,11,Silicon,Medium,201,669.0,1049,356,71.18,2.62,19,5,39.24,46.29,52.7,1,0,0,349
4,2026-01-29 07:01:57.973205,2026-01-29,7,5,1,B,Line-2,Sensor,BATCH-7438,M-102,92.41,6,45,Done,35.51,1025,7.0,12,Copper,Low,238,498.0,811,235,92.62,2.53,17,3,26.54,42.83,95.38,0,0,0,228
5,2025-07-21 06:22:57.973205,2025-07-21,6,30,7,B,Line-3,Microchip,BATCH-6103,M-103,88.0,17,113,Done,34.84,1047,11.0,9,Copper,High,228,261.0,335,453,76.5,4.51,7,4,24.53,34.32,119.92,0,0,0,462
6,2025-10-26 03:07:57.973205,2025-10-26,3,43,10,B,Line-2,Microchip,BATCH-3317,M-103,105.08,16,97,Done,30.86,1015,,6,Plastic,Low,213,143.0,477,311,98.86,1.36,5,0,29.52,53.65,75.76,0,1,0,323
7,2026-01-08 09:52:57.973205,2026-01-08,9,2,1,B,Line-2,PCB,BATCH-0516,M-101,58.87,9,29,Pending,15.28,1047,1.0,10,Silicon,High,204,272.0,338,1050,74.55,1.37,3,9,35.47,77.11,69.31,0,0,0,1044
8,2025-11-07 09:47:57.973205,2025-11-07,9,45,11,C,Line-2,Microchip,BATCH-5831,M-103,54.78,7,112,Done,33.4,1038,4.0,10,Silicon,High,224,872.0,1099,735,86.98,4.91,5,5,31.38,74.34,97.54,0,0,0,728
9,2025-06-23 16:33:57.973205,2025-06-23,16,26,6,B,Line-2,PCB,BATCH-9470,M-102,92.62,20,16,Pending,54.69,1010,13.0,6,Plastic,Medium,230,424.0,551,486,67.33,1.17,16,8,28.15,34.63,117.09,0,0,0,477
10,2025-09-26 20:29:57.973205,2025-09-26,20,39,9,C,Line-2,Sensor,BATCH-7201,M-103,58.1,10,59,Pending,32.28,1006,4.0,11,Silicon,Low,241,174.0,1003,208,64.53,2.42,6,10,35.55,60.97,101.41,1,0,0,223
11,2025-05-23 06:10:57.973205,2025-05-23,6,21,5,A,Line-3,PCB,BATCH-0241,M-104,81.99,13,95,Done,36.34,1046,7.0,9,Copper,Medium,236,370.0,740,223,81.6,1.08,1,3,22.1,56.83,109.19,0,0,0,221
12,2025-12-11 10:36:57.973205,2025-12-11,10,50,12,A,Line-3,PCB,BATCH-0301,M-104,76.84,21,21,Pending,48.62,1036,2.0,8,Copper,Low,240,640.0,559,637,84.47,1.92,17,1,34.17,74.45,77.79,0,0,0,631
13,2025-07-29 20:35:57.973205,2025-07-29,20,31,7,B,Line-2,PCB,BATCH-7804,M-101,62.87,17,66,Pending,41.25,1029,1.0,11,Silicon,Low,211,757.0,882,227,65.01,2.16,17,9,28.11,35.92,66.45,1,0,0,239
14,2025-12-12 09:16:57.973205,2025-12-12,9,50,12,C,Line-1,Microchip,BATCH-2096,M-103,99.63,19,105,Done,18.73,1046,10.0,7,Silicon,Medium,239,276.0,484,670,84.47,0.88,6,1,33.64,60.65,80.62,0,0,0,668
15,2025-07-25 00:07:57.973205,2025-07-25,0,30,7,A,Line-3,Microchip,BATCH-9188,M-101,92.43,16,85,Pending,44.49,1028,10.0,12,Plastic,High,240,277.0,386,272,95.32,4.24,7,7,25.95,44.23,80.47,0,0,1,270
16,2025-10-23 22:34:57.973205,2025-10-23,22,43,10,C,Line-1,Sensor,BATCH-7774,M-102,98.33,6,61,Done,46.15,1020,3.0,9,Plastic,High,235,480.0,948,211,93.42,3.11,7,6,35.03,52.73,64.7,0,0,0,222
17,2025-12-11 13:01:57.973205,2025-12-11,13,50,12,B,Line-3,PCB,BATCH-6638,M-104,108.49,9,0,Done,26.71,1006,14.0,6,Silicon,Low,217,279.0,413,259,72.74,2.29,10,6,25.86,44.02,56.95,0,1,0,257
18,2026-04-19 15:28:57.973205,2026-04-19,15,16,4,B,Line-2,Sensor,BATCH-2675,M-102,85.31,15,117,Pending,48.02,1043,6.0,9,Silicon,Medium,235,707.0,978,456,98.41,4.57,15,4,39.92,40.57,92.11,0,0,1,447
19,2026-01-12 09:33:57.973205,2026-01-12,9,3,1,C,Line-1,Microchip,BATCH-9191,M-102,67.92,21,57,Pending,24.51,1031,4.0,9,Silicon,Low,230,424.0,968,414,60.9,4.38,7,8,37.0,74.26,80.93,1,0,0,424
20,2025-11-19 17:29:57.973205,2025-11-19,17,47,11,B,Line-2,PCB,BATCH-0744,M-101,96.0,13,80,Pending,55.42,1046,2.0,6,Silicon,High,220,501.0,875,438,83.65,1.31,15,7,33.65,54.54,105.26,0,0,1,426
21,2025-06-14 10:14:57.973205,2025-06-14,10,24,6,C,Line-2,PCB,BATCH-0849,M-101,81.87,18,52,Done,50.56,1049,11.0,12,Plastic,Low,228,893.0,996,1049,87.43,3.23,9,5,22.03,31.11,53.3,0,0,0,1045
22,2025-10-13 12:26:57.973205,2025-10-13,12,42,10,A,Line-2,PCB,BATCH-4406,M-101,65.11,18,22,Done,15.42,1005,8.0,12,Silicon,Low,206,330.0,774,463,93.92,1.47,17,1,35.14,76.04,57.22,0,0,0,462
23,2025-10-28 16:49:57.973205,2025-10-28,16,44,10,B,Line-2,Microchip,BATCH-1876,M-101,60.63,20,20,Pending,30.58,1004,2.0,7,Plastic,Low,230,664.0,843,767,61.72,0.76,10,8,22.69,73.77,74.29,0,0,0,748
25,2025-10-11 22:02:57.973205,2025-10-11,22,41,10,A,Line-3,PCB,BATCH-7606,M-102,52.58,10,83,Pending,17.66,1021,8.0,9,Silicon,Low,247,570.0,648,228,62.29,0.62,12,2,25.25,69.24,52.09,1,0,1,225
26,2025-12-13 20:28:57.973205,2025-12-13,20,50,12,A,Line-2,PCB,BATCH-6732,M-102,71.3,22,48,Done,45.08,1015,3.0,6,Silicon,High,248,231.0,506,343,85.1,2.31,2,3,20.25,40.24,89.5,0,0,0,333
27,2026-05-07 00:49:57.973205,2026-05-07,0,19,5,B,Line-2,Microchip,BATCH-9010,M-101,104.24,24,73,Done,35.71,1009,15.0,8,Copper,High,211,488.0,915,430,81.6,1.46,12,10,36.06,65.81,112.81,0,0,0,415
28,2025-09-19 16:22:57.973205,2025-09-19,16,38,9,C,Line-3,PCB,BATCH-2301,M-102,57.16,8,110,Done,17.02,1039,4.0,12,Copper,High,203,449.0,583,720,99.26,4.77,14,1,21.65,30.71,52.11,0,0,0,736
29,2025-07-09 23:06:57.973205,2025-07-09,23,28,7,C,Line-1,Sensor,BATCH-5212,M-101,69.0,6,52,Done,48.2,1002,3.0,7,Silicon,Low,240,452.0,1026,882,78.06,2.7,5,10,21.55,33.82,52.5,0,0,0,863
30,2025-09-23 20:41:57.973205,2025-09-23,20,39,9,C,Line-3,Sensor,BATCH-5315,M-103,118.64,24,1,Done,58.05,1021,3.0,9,Copper,Medium,244,241.0,818,608,67.38,3.57,14,9,27.94,61.82,78.16,0,0,0,606
31,2025-06-29 19:17:57.973205,2025-06-29,19,26,6,A,Line-2,Microchip,BATCH-4956,M-102,106.68,19,120,Done,44.8,1046,,6,Plastic,Medium,216,796.0,701,747,90.71,3.79,17,2,34.13,55.24,90.01,0,0,0,757
32,2025-08-14 02:21:57.973205,2025-08-14,2,33,8,B,Line-3,PCB,BATCH-3922,M-103,65.24,23,91,Done,38.0,1032,3.0,10,Silicon,Medium,238,306.0,365,518,92.17,2.3,8,7,31.46,59.15,61.87,0,0,0,500
33,2026-01-04 18:42:57.973205,2026-01-04,18,1,1,C,Line-3,Microchip,BATCH-7063,M-101,78.13,11,40,Done,33.47,1041,5.0,9,Plastic,High,229,919.0,887,517,81.32,4.14,18,4,39.94,51.38,92.64,0,0,0,536
